claimant_tag,province_id,strength,dispute,basis,source_url
RUS,477,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,478,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,479,claim,Soviet successor territory,Kazakhstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2363,claim,Soviet successor territory,Uzbekistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2370,claim,Soviet successor territory,Uzbekistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,440,claim,Soviet successor territory,Uzbekistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,442,claim,Soviet successor territory,Uzbekistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,454,claim,Soviet successor territory,Uzbekistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,455,claim,Soviet successor territory,Uzbekistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,457,claim,Soviet successor territory,Uzbekistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,1973,claim,Soviet successor territory,Turkmenistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2349,claim,Soviet successor territory,Turkmenistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2350,claim,Soviet successor territory,Turkmenistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2362,claim,Soviet successor territory,Turkmenistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4344,claim,Soviet successor territory,Turkmenistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,437,claim,Soviet successor territory,Turkmenistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,438,claim,Soviet successor territory,Turkmenistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,441,claim,Soviet successor territory,Turkmenistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,444,claim,Soviet successor territory,Turkmenistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,445,claim,Soviet successor territory,Turkmenistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,453,claim,Soviet successor territory,Turkmenistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,1967,claim,Soviet successor territory,Tajikistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,1968,claim,Soviet successor territory,Tajikistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2127,claim,Soviet successor territory,Tajikistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,4210,claim,Soviet successor territory,Tajikistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,458,claim,Soviet successor territory,Tajikistan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2125,claim,Soviet successor territory,Kyrgyzstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2126,claim,Soviet successor territory,Kyrgyzstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,2364,claim,Soviet successor territory,Kyrgyzstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
RUS,460,claim,Soviet successor territory,Kyrgyzstan belonged to the Soviet Union until 1991 and Russia is its recognized continuator state,https://www.britannica.com/place/Soviet-Union
YUG,128,claim,Yugoslav successor territory,Slovenia belonged to Yugoslavia until 1991,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
AUT,128,claim,Austrian half of Austria-Hungary,Most Slovenian territory belonged to the Austrian crown at the beginning of the twentieth century,https://www.britannica.com/place/Austria-Hungary
YUG,4751,claim,Yugoslav successor territory,Slovenia belonged to Yugoslavia until 1991,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
AUT,4751,claim,Austrian half of Austria-Hungary,Most Slovenian territory belonged to the Austrian crown at the beginning of the twentieth century,https://www.britannica.com/place/Austria-Hungary
YUG,136,claim,Yugoslav successor territory,Croatia belonged to Yugoslavia until 1991,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
YUG,137,claim,Yugoslav successor territory,Croatia belonged to Yugoslavia until 1991,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
YUG,1826,claim,Yugoslav successor territory,Croatia belonged to Yugoslavia until 1991,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
YUG,1828,claim,Yugoslav successor territory,Croatia belonged to Yugoslavia until 1991,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
YUG,139,claim,Yugoslav successor territory,Bosnia and Herzegovina belonged to Yugoslavia until 1992,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
YUG,140,claim,Yugoslav successor territory,Bosnia and Herzegovina belonged to Yugoslavia until 1992,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
YUG,1831,claim,Yugoslav successor territory,Bosnia and Herzegovina belonged to Yugoslavia until 1992,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
YUG,3002,claim,Yugoslav successor territory,Bosnia and Herzegovina belonged to Yugoslavia until 1992,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
YUG,4755,claim,Yugoslav successor territory,Bosnia and Herzegovina belonged to Yugoslavia until 1992,https://www.britannica.com/place/Yugoslavia-former-federated-nation-1929-2003
UKG,372,claim,United Kingdom before partition,Ireland formed part of the United Kingdom at the beginning of the twentieth century,https://www.britannica.com/event/Act-of-Union-United-Kingdom-1801
UKG,373,claim,United Kingdom before partition,Ireland formed part of the United Kingdom at the beginning of the twentieth century,https://www.britannica.com/event/Act-of-Union-United-Kingdom-1801
UKG,374,claim,United Kingdom before partition,Ireland formed part of the United Kingdom at the beginning of the twentieth century,https://www.britannica.com/event/Act-of-Union-United-Kingdom-1801
UKG,375,claim,United Kingdom before partition,Ireland formed part of the United Kingdom at the beginning of the twentieth century,https://www.britannica.com/event/Act-of-Union-United-Kingdom-1801
UKG,376,claim,United Kingdom before partition,Ireland formed part of the United Kingdom at the beginning of the twentieth century,https://www.britannica.com/event/Act-of-Union-United-Kingdom-1801
UKG,4118,claim,United Kingdom before partition,Ireland formed part of the United Kingdom at the beginning of the twentieth century,https://www.britannica.com/event/Act-of-Union-United-Kingdom-1801
UKG,4119,claim,United Kingdom before partition,Ireland formed part of the United Kingdom at the beginning of the twentieth century,https://www.britannica.com/event/Act-of-Union-United-Kingdom-1801
UKG,4120,claim,United Kingdom before partition,Ireland formed part of the United Kingdom at the beginning of the twentieth century,https://www.britannica.com/event/Act-of-Union-United-Kingdom-1801
UKG,4377,claim,United Kingdom before partition,Ireland formed part of the United Kingdom at the beginning of the twentieth century,https://www.britannica.com/event/Act-of-Union-United-Kingdom-1801
UKG,4378,claim,United Kingdom before partition,Ireland formed part of the United Kingdom at the beginning of the twentieth century,https://www.britannica.com/event/Act-of-Union-United-Kingdom-1801
UKG,4379,claim,United Kingdom before partition,Ireland formed part of the United Kingdom at the beginning of the twentieth century,https://www.britannica.com/event/Act-of-Union-United-Kingdom-1801
UKG,4380,claim,United Kingdom before partition,Ireland formed part of the United Kingdom at the beginning of the twentieth century,https://www.britannica.com/event/Act-of-Union-United-Kingdom-1801
SVK,1771,claim,Czechoslovak successor territory,The Czech lands formed part of Czechoslovakia until 1992,https://www.britannica.com/place/Czechoslovakia
AUT,1771,claim,Austrian half of Austria-Hungary,The Czech lands belonged to the Austrian crown at the beginning of the twentieth century,https://www.britannica.com/place/Austria-Hungary
SVK,263,claim,Czechoslovak successor territory,The Czech lands formed part of Czechoslovakia until 1992,https://www.britannica.com/place/Czechoslovakia
AUT,263,claim,Austrian half of Austria-Hungary,The Czech lands belonged to the Austrian crown at the beginning of the twentieth century,https://www.britannica.com/place/Austria-Hungary
SVK,265,claim,Czechoslovak successor territory,The Czech lands formed part of Czechoslovakia until 1992,https://www.britannica.com/place/Czechoslovakia
AUT,265,claim,Austrian half of Austria-Hungary,The Czech lands belonged to the Austrian crown at the beginning of the twentieth century,https://www.britannica.com/place/Austria-Hungary
SVK,266,claim,Czechoslovak successor territory,The Czech lands formed part of Czechoslovakia until 1992,https://www.britannica.com/place/Czechoslovakia
AUT,266,claim,Austrian half of Austria-Hungary,The Czech lands belonged to the Austrian crown at the beginning of the twentieth century,https://www.britannica.com/place/Austria-Hungary
SVK,2970,claim,Czechoslovak successor territory,The Czech lands formed part of Czechoslovakia until 1992,https://www.britannica.com/place/Czechoslovakia
AUT,2970,claim,Austrian half of Austria-Hungary,The Czech lands belonged to the Austrian crown at the beginning of the twentieth century,https://www.britannica.com/place/Austria-Hungary
SVK,4237,claim,Czechoslovak successor territory,The Czech lands formed part of Czechoslovakia until 1992,https://www.britannica.com/place/Czechoslovakia
AUT,4237,claim,Austrian half of Austria-Hungary,The Czech lands belonged to the Austrian crown at the beginning of the twentieth century,https://www.britannica.com/place/Austria-Hungary
SVK,4238,claim,Czechoslovak successor territory,The Czech lands formed part of Czechoslovakia until 1992,https://www.britannica.com/place/Czechoslovakia
AUT,4238,claim,Austrian half of Austria-Hungary,The Czech lands belonged to the Austrian crown at the beginning of the twentieth century,https://www.britannica.com/place/Austria-Hungary
SVK,4723,claim,Czechoslovak successor territory,The Czech lands formed part of Czechoslovakia until 1992,https://www.britannica.com/place/Czechoslovakia
AUT,4723,claim,Austrian half of Austria-Hungary,The Czech lands belonged to the Austrian crown at the beginning of the twentieth century,https://www.britannica.com/place/Austria-Hungary
SVK,4724,claim,Czechoslovak successor territory,The Czech lands formed part of Czechoslovakia until 1992,https://www.britannica.com/place/Czechoslovakia
AUT,4724,claim,Austrian half of Austria-Hungary,The Czech lands belonged to the Austrian crown at the beginning of the twentieth century,https://www.britannica.com/place/Austria-Hungary
SVK,4725,claim,Czechoslovak successor territory,The Czech lands formed part of Czechoslovakia until 1992,https://www.britannica.com/place/Czechoslovakia
AUT,4725,claim,Austrian half of Austria-Hungary,The Czech lands belonged to the Austrian crown at the beginning of the twentieth century,https://www.britannica.com/place/Austria-Hungary
SVK,4726,claim,Czechoslovak successor territory,The Czech lands formed part of Czechoslovakia until 1992,https://www.britannica.com/place/Czechoslovakia
AUT,4726,claim,Austrian half of Austria-Hungary,The Czech lands belonged to the Austrian crown at the beginning of the twentieth century,https://www.britannica.com/place/Austria-Hungary
SVK,4778,claim,Czechoslovak successor territory,The Czech lands formed part of Czechoslovakia until 1992,https://www.britannica.com/place/Czechoslovakia
AUT,4778,claim,Austrian half of Austria-Hungary,The Czech lands belonged to the Austrian crown at the beginning of the twentieth century,https://www.britannica.com/place/Austria-Hungary
ETH,1215,claim,Ethiopian annexation,Eritrea was federated with and then annexed by Ethiopia before independence in 1993,https://www.britannica.com/place/Eritrea/Federation-with-Ethiopia
ETH,1227,claim,Ethiopian annexation,Eritrea was federated with and then annexed by Ethiopia before independence in 1993,https://www.britannica.com/place/Eritrea/Federation-with-Ethiopia
ETH,1230,claim,Ethiopian annexation,Eritrea was federated with and then annexed by Ethiopia before independence in 1993,https://www.britannica.com/place/Eritrea/Federation-with-Ethiopia
ETH,2765,claim,Ethiopian annexation,Eritrea was federated with and then annexed by Ethiopia before independence in 1993,https://www.britannica.com/place/Eritrea/Federation-with-Ethiopia
ETH,2766,claim,Ethiopian annexation,Eritrea was federated with and then annexed by Ethiopia before independence in 1993,https://www.britannica.com/place/Eritrea/Federation-with-Ethiopia
ETH,2767,claim,Ethiopian annexation,Eritrea was federated with and then annexed by Ethiopia before independence in 1993,https://www.britannica.com/place/Eritrea/Federation-with-Ethiopia
ETH,2771,claim,Ethiopian annexation,Eritrea was federated with and then annexed by Ethiopia before independence in 1993,https://www.britannica.com/place/Eritrea/Federation-with-Ethiopia
CHN,2116,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,2117,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,2189,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,2190,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,2193,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,4219,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,4220,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,4221,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,4222,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,4667,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,4668,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,4669,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,4677,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,4678,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,4679,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,4680,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,4681,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,4682,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,717,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,718,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,719,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,720,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
CHN,721,claim,Qing and Chinese successor territory,Outer Mongolia formed part of the Qing realm and remained claimed by its Chinese successor,https://www.britannica.com/place/Mongolia/Independence-and-revolution
SKR,1845,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
SKR,2743,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
SKR,2744,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
SKR,4231,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
SKR,4232,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
SKR,732,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
SKR,733,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
SKR,735,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
NKR,1013,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
NKR,2694,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
NKR,2741,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
NKR,2745,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
NKR,4227,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
NKR,4228,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
NKR,4229,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
NKR,4230,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
NKR,4651,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
NKR,734,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
NKR,736,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
NKR,737,claim,Unified Korea,Korea was a unified country before its postwar division,https://www.britannica.com/place/Korea
TU1,143,claim,Late Ottoman territory,Albania remained part of the Ottoman Empire until 1912,https://www.britannica.com/place/Albania/Albanian-nationalism
TU1,4174,claim,Late Ottoman territory,Albania remained part of the Ottoman Empire until 1912,https://www.britannica.com/place/Albania/Albanian-nationalism
TU1,4175,claim,Late Ottoman territory,Albania remained part of the Ottoman Empire until 1912,https://www.britannica.com/place/Albania/Albanian-nationalism
TU1,4750,claim,Late Ottoman territory,Albania remained part of the Ottoman Empire until 1912,https://www.britannica.com/place/Albania/Albanian-nationalism
TU1,4780,claim,Late Ottoman territory,Albania remained part of the Ottoman Empire until 1912,https://www.britannica.com/place/Albania/Albanian-nationalism
